FRUITS_VEGGIES,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,SLEEP_HOURS,PERSONAL_AWARDS,TIME_FOR_PASSION,AGE,WORK_LIFE_BALANCE_SCORE
3,2,5,0,5,7,4,0,3,609.5
2,4,3,8,10,8,3,2,3,655.6
2,3,4,4,10,8,4,8,3,631.6
3,10,3,10,7,5,5,2,4,622.7
5,3,3,10,4,7,8,1,4,663.9
3,3,9,10,10,8,10,8,4,722.3
4,10,6,10,10,7,10,8,4,727.2
3,5,3,5,7,6,8,2,2,676.2
5,6,4,3,3,10,10,3,2,702.8
4,2,6,10,10,6,3,8,4,634.4
2,7,7,1,1,8,3,0,3,610.1
1,3,8,0,2,7,4,1,2,618.6
2,10,5,2,8,8,5,2,2,686.4
5,0,3,6,6,6,5,6,3,689.6
3,2,3,7,5,8,4,5,2,639.7
3,5,4,10,10,6,8,3,4,720.4
4,10,4,6,10,8,3,3,2,673.5
4,10,10,5,10,8,4,8,2,707.6
5,10,7,10,5,9,5,4,3,727.8
3,6,10,10,6,8,5,1,3,687.1
2,3,8,6,5,4,3,2,2,652.9
3,5,4,5,3,7,10,10,2,668.6
5,8,6,10,10,7,10,6,3,709.4
2,6,10,10,10,7,10,5,3,752.7
2,6,10,5,5,6,1,3,3,677.7
1,1,3,6,5,7,5,1,2,633.9
1,1,2,5,3,7,2,1,2,628.8
2,10,3,10,7,7,10,2,2,692.8
3,6,4,7,10,6,7,2,3,673.2
4,10,3,1,2,7,10,1,1,673.9
5,10,3,7,5,7,10,5,2,712.5
3,3,5,2,10,8,10,4,3,692.6
0,0,3,3,8,6,3,2,3,574.5
1,10,3,2,3,8,4,3,4,630.1
4,10,6,10,8,7,10,4,2,746.5
3,0,2,0,5,6,2,2,2,591.7
2,7,4,10,8,6,10,6,4,729.4
2,1,8,5,2,8,2,0,3,593.7
4,1,10,10,10,6,6,4,4,682.8
5,6,6,10,7,9,6,6,4,723.4
4,10,8,8,4,7,5,4,2,687.3
4,10,8,10,3,5,4,0,4,635.9
2,0,8,10,10,9,10,0,4,655.2
3,4,1,1,10,7,3,5,2,652.4
2,3,10,3,4,8,2,2,3,657.9
3,10,2,9,10,5,7,2,3,686.6
5,10,10,10,6,6,8,4,4,732.7
4,10,10,5,8,8,10,3,2,685.5
3,8,10,10,10,7,10,3,4,742.5
2,3,10,10,10,8,4,1,3,663.5
4,6,3,10,10,7,4,5,2,710.4
3,8,9,5,10,8,3,3,2,658.3
1,4,6,1,10,6,8,1,3,633.1
5,3,6,4,9,8,2,3,4,677.9
4,5,10,10,2,6,3,4,2,640.8
1,1,1,1,7,6,2,2,1,557.9
4,8,6,2,10,8,10,1,3,669.2
5,10,6,5,10,7,6,4,3,712.5
4,10,1,10,2,7,10,1,4,712.5
0,0,2,1,2,10,1,0,2,571.9
0,0,2,1,2,10,1,0,2,575.3
4,1,7,5,8,7,3,9,2,678.1
5,4,5,4,4,7,4,8,2,648.8
1,10,2,1,5,6,4,1,2,649
2,6,4,10,0,9,10,1,3,656.9
3,6,8,7,6,6,5,4,2,680.7
3,6,8,7,6,6,5,4,2,663.7
2,3,3,2,4,7,5,3,2,661.5
3,1,1,1,3,7,3,1,4,609.7
3,6,4,10,10,8,6,2,2,656.5
4,10,10,10,10,8,5,6,2,739.5
3,4,0,2,3,4,5,1,2,657.5
0,0,2,2,3,4,1,0,3,528.8
4,10,8,10,10,6,10,1,4,694.7
5,10,4,2,2,8,4,5,4,662.2
5,3,1,10,10,7,5,2,2,704.7
5,10,1,4,5,8,10,1,3,694
5,10,1,4,5,8,10,1,3,694
3,8,10,5,7,8,10,3,2,709.3
0,0,2,0,0,6,2,1,2,538.8
1,2,2,1,3,8,1,1,1,654.5
5,6,4,10,4,8,0,3,4,680.3
0,0,2,0,0,6,2,1,2,538.8
3,8,7,5,7,6,10,0,2,651.4
5,10,5,5,10,8,7,5,2,724.7
5,3,6,10,10,6,8,2,4,677.5
4,8,2,10,10,6,10,3,4,696.4
2,10,6,4,5,8,10,6,3,658.4
5,8,3,10,7,8,10,5,3,749.7
5,8,3,10,7,8,10,5,3,749.7
3,4,7,4,4,6,7,1,3,676.4
3,1,4,2,5,6,2,0,2,594.8
5,8,1,10,10,8,8,5,2,758.6
3,3,1,4,3,6,10,1,2,640.3
3,2,3,8,10,7,2,1,3,678.1
2,10,4,10,10,6,10,1,3,678.8
1,0,1,1,3,10,3,0,3,551.5
5,2,2,10,8,6,4,2,2,639.2
1,10,6,10,10,7,7,5,2,718.7
1,10,6,7,10,7,7,3,2,697.9
